02/2010,33727.7272
03/2010,35939.85671
04/2010,33263.09277
05/2010,31052.17957
06/2010,35015.62068
07/2010,35065.09046
08/2010,33369.1888
09/2010,37125.22295
10/2010,38267.42694
11/2010,40290.38046
12/2010,38039.62533
01/2011,40583.93269
02/2011,44695.06019
03/2011,43880.46065
04/2011,39626.76646
05/2011,42668.86521
06/2011,40536.3791
07/2011,41615.63661
08/2011,38176.41781
09/2011,44278.01693
10/2011,49737.1377
11/2011,44074.44009
12/2011,40795.7618
01/2012,39131.47668
02/2012,39652.0535
03/2012,44354.35639
04/2012,37171.58384
05/2012,42990.42398
06/2012,38357.93673
07/2012,40797.43951
08/2012,37668.75964
09/2012,39019.31662
10/2012,41456.49195
11/2012,40913.17131
12/2012,38894.28502
01/2013,42724.10764
02/2013,40983.02979
03/2013,47310.78834
04/2013,45909.96072
05/2013,56200.8512
06/2013,47859.57688
07/2013,47365.83094
08/2013,42122.53816
09/2013,43945.44935
10/2013,45973.48401
11/2013,43031.54296
12/2013,43472.26352
01/2014,44177.13249
02/2014,43740.03608
03/2014,45426.47148
04/2014,40976.42245
05/2014,43772.80478
06/2014,42181.07841
07/2014,43229.66121
08/2014,35474.30439
09/2014,43039.63804
10/2014,44426.81891
11/2014,45169.78325
12/2014,39489.64194
01/2015,35281.77652
02/2015,35063.7971
03/2015,42437.00392
04/2015,39419.18669
05/2015,40211.69544
06/2015,40757.60306
07/2015,38519.37992
08/2015,36689.09253
09/2015,39674.44408
10/2015,38584.73059
11/2015,38307.12539
12/2015,41046.54802
01/2016,31879.19305
02/2016,34787.83452
03/2016,35640.97847
04/2016,35852.21502
05/2016,33993.54245
06/2016,34968.45012
07/2016,31357.96112
08/2016,30735.3561
09/2016,33379.30801
10/2016,33009.1329
11/2016,36017.15682
12/2016,39146.33112
01/2017,34806.17959
02/2017,33917.26873
03/2017,38561.35944
04/2017,33183.06557
05/2017,37179.53253
06/2017,36024.27881
07/2017,38866.2246
08/2017,33620.37874
09/2017,37757.15371
10/2017,39056.65837
11/2017,39755.77624
12/2017,38642.45363
01/2018,40468.83108
02/2018,38315.31692
03/2018,44200.90962
04/2018,39530.38293
05/2018,40744.09744
06/2018,42359.83204
07/2018,42053.83675
08/2018,40471.4387
09/2018,42128.7016
10/2018,43229.50892
11/2018,39545.18837
12/2018,33370.89123
01/2019,37148.0604
02/2019,38155.10185
03/2019,44885.12289
04/2019,39003.27825
